"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"12","R Tip: Use `tidyr::gather( )` to convert a wide df to long of key-value pairs for select cols.  #rstats… https://t.co/2Gki3I7Unh",FALSE,102,NA,2017-08-10 03:00:24,TRUE,NA,"895479916908617728",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","R_Programming",40,FALSE,FALSE,NA,NA
"137","R Tip: y &lt;- x[!x %in% boxplot.stats(x)$out] will remove all outliers from x. #rstats #datascience http://t.co/FSV3ZThes6",FALSE,50,NA,2015-09-02 04:28:06,FALSE,NA,"638931381536485376",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","R_Programming",40,FALSE,FALSE,NA,NA
"189","A rich resource for advanced R statistics. Start your R journey here! http://t.co/KXhCSrg0nq #rstats #datascience http://t.co/B5uV8CWBmn",FALSE,47,NA,2015-06-26 15:10:35,FALSE,NA,"614450693135425536",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","R_Programming",40,FALSE,FALSE,NA,NA
"65","R Tip: A convenient symbol function to join strings! #rstats #datascience https://t.co/JKQsz16oUi",FALSE,84,NA,2016-03-25 04:16:28,FALSE,NA,"713217963801710594",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","R_Programming",39,FALSE,FALSE,NA,NA
"277","R Programming Tutorial For Complete Beginners on YouTube - Free Course https://t.co/NfgUSQtgnl  #rstats #datascience #analytics",FALSE,43,NA,2015-02-16 17:32:04,FALSE,NA,"567375875033669633",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","R_Programming",38,FALSE,FALSE,NA,NA
"34","Very excited to announce that 'Mastering R Programming' course is published! <ed><U+00A0><U+00BC><ed><U+00BE><U+008A><ed><U+00A0><U+00BC><ed><U+00BE><U+0089><ed><U+00A0><U+00BC><ed><U+00BE><U+0081><ed><U+00A0><U+00BD><ed><U+00B2><U+00A5> #rstats #datascience… https://t.co/8Z4cUnMTaj",FALSE,72,NA,2016-11-15 15:22:54,TRUE,NA,"798546826198552576",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","R_Programming",37,FALSE,FALSE,NA,NA
"44","Understand the purpose, the math and implement Chi-Sq statistic in R https://t.co/feumBiWBhy #rstats #datascience https://t.co/Hqx8XnmTfV",FALSE,69,NA,2016-08-15 04:53:09,FALSE,NA,"765048662967726080",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","R_Programming",37,FALSE,FALSE,NA,NA
"67","How to export regression results from R to MS Word @datascienceplus  https://t.co/EYjpbdYGLt #datascience  #rstats https://t.co/shsvF2D1hF",FALSE,64,NA,2016-03-20 15:14:02,FALSE,NA,"711571509249114112",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","R_Programming",37,FALSE,FALSE,NA,NA
"83","R Tip: You can use round() function to round dates too. See pic. #rstats #DataScience https://t.co/WfPXmf1thg https://t.co/NHRK2LW9cb",FALSE,72,NA,2016-01-07 17:45:48,FALSE,NA,"685155385125150720",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","R_Programming",37,FALSE,FALSE,NA,NA
"247","Get Started in R: A Complete beginners practical workbook http://t.co/UI3V4JiO5A #rstats #datascientists http://t.co/KzRmJ0LY79",FALSE,77,NA,2015-04-01 20:46:00,FALSE,NA,"583369744171950080",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","R_Programming",36,FALSE,FALSE,NA,NA
